timestamp,timestamp_absolute,timestamp_iso,cpu_cycles,instructions,cache_references,cache_misses,branches,branch_misses,page_faults,context_switches,cpu_utilization,cpu_user_time,cpu_system_time,cpu_nice_time,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_idle,memory_usage_percent,memory_available_gb,disk_io_read_mb,disk_io_write_mb,network_bytes_sent,network_bytes_recv,process_count,load_average_1min,load_average_5min,load_average_15min,instructions_per_cycle,cache_miss_ratio,branch_miss_ratio,cpu_efficiency,sys_cpu_user_seconds,sys_cpu_system_seconds,sys_cpu_total_seconds,sys_context_switches,sys_processes_created,sys_procs_running,sys_procs_blocked,collection_interval,time_delta_seconds,vm_hostname,core_count
132.0,1757535599.5841205,2025-09-10T16:19:58.038224,0,0,0,0,0,0,0,0,100.0,99.24812030075186,0.0,0.0,0.0,0.7518796992481417,0.0,0.0,0.0,25.1,8.895500183105469,0.0,0.0,0,0,316,3.68994140625,3.0087890625,1.841796875,0.0,0.0,0.0,0.9924812030075186,3.96,0.0,3.96,166,0,5,0,1.0,1.0001308917999268,fedora,4
133.0,1757535600.5895705,2025-09-10T16:19:59.038224,0,0,0,0,0,0,0,0,100.0,98.74686716791987,0.2506265664158378,0.0,0.0,0.7518796992482257,0.2506265664160604,0.0,0.0,25.1,8.895500183105469,0.0,0.0,0,125,316,3.71484375,3.025390625,1.853515625,0.0,0.0,0.0,0.9899749373433571,3.94,0.01,3.9499999999999997,234,0,5,0,1.0,1.0009071826934814,fedora,4
134.0,1757535601.5925772,2025-09-10T16:20:00.038224,0,0,0,0,0,0,0,0,100.0,98.74686716791939,0.0,0.0,0.0,0.7518796992482221,0.0,0.5012531328323855,0.0,25.1,8.895500183105469,0.0,0.0,0,73,316,3.71484375,3.025390625,1.853515625,0.0,0.0,0.0,0.9874686716791939,3.94,0.0,3.94,134,0,5,0,1.0,1.0003550052642822,fedora,4
135.0,1757535602.595569,2025-09-10T16:20:01.038224,0,0,0,0,0,0,0,0,100.0,99.00249376558594,0.249376558603957,0.0,0.0,0.7481296758100991,0.0,0.0,0.0,25.1,8.895500183105469,0.0,0.0,0,52,316,3.71484375,3.025390625,1.853515625,0.0,0.0,0.0,0.992518703241899,3.97,0.01,3.98,122,0,5,0,1.0,1.0003972053527832,fedora,4
136.0,1757535603.5985796,2025-09-10T16:20:02.038224,0,0,0,0,0,0,0,0,100.0,99.00249376558607,0.0,0.0,0.0,0.7481296758106258,0.0,0.24937655860330568,0.0,25.1,8.895500183105469,0.0,0.0,0,0,316,3.71484375,3.025390625,1.853515625,0.0,0.0,0.0,0.9900249376558606,3.97,0.0,3.97,130,0,5,0,1.0,1.0007612705230713,fedora,4
137.0,1757535604.6048555,2025-09-10T16:20:03.038224,0,0,0,0,0,0,0,0,94.75000000002045,92.50000000001977,1.5000000000004512,0.0,0.0,0.7500000000002256,0.0,0.0,5.249999999979552,25.1,8.8958740234375,0.0,0.0,0,218,316,3.71484375,3.025390625,1.853515625,0.0,0.0,0.0,0.9400000000002022,3.7,0.06,3.7600000000000002,272,6,5,0,1.0,1.0000951290130615,fedora,4
138.0,1757535605.6072164,2025-09-10T16:20:04.038224,0,0,0,0,0,0,0,0,100.0,98.49246231155811,0.25125628140680284,0.0,0.0,0.7537688442211226,0.0,0.5025125628139627,0.0,25.1,8.895740509033203,0.0,0.0,0,166,316,3.73779296875,3.0419921875,1.865234375,0.0,0.0,0.0,0.9874371859296491,3.92,0.01,3.9299999999999997,137,0,5,0,1.0,1.0001139640808105,fedora,4
139.0,1757535606.6135807,2025-09-10T16:20:05.038224,0,0,0,0,0,0,0,0,100.0,98.74999999999966,0.0,0.0,0.0,0.7500000000000604,0.0,0.5000000000002771,0.0,25.1,8.895740509033203,0.0,0.0,0,52,316,3.73779296875,3.0419921875,1.865234375,0.0,0.0,0.0,0.9874999999999966,3.95,0.01,3.96,135,0,5,0,1.0,1.000314712524414,fedora,4
140.0,1757535607.6165686,2025-09-10T16:20:06.038224,0,0,0,0,0,0,0,0,100.0,99.0024937655856,0.24937655860395613,0.0,0.0,0.7481296758104508,0.0,0.0,0.0,25.1,8.895740509033203,0.0,0.00390625,0,166,316,3.73779296875,3.0419921875,1.865234375,0.0,0.0,0.0,0.9925187032418955,3.97,0.01,3.98,165,0,5,0,1.0,1.0002813339233398,fedora,4
141.0,1757535608.618829,2025-09-10T16:20:07.038224,0,0,0,0,0,0,0,0,100.0,99.00249376558608,0.0,0.0,0.0,0.7481296758104544,0.24937655860347005,0.0,0.0,25.1,8.895740509033203,0.0,0.0,0,125,316,3.73779296875,3.0419921875,1.865234375,0.0,0.0,0.0,0.9900249376558609,3.97,0.0,3.97,137,0,5,0,1.0,1.0001137256622314,fedora,4
